bin,lower,upper,n,mean_predicted,observed_fraction
1,0.0,0.1,3,0.061464496344322085,0.0
2,0.1,0.2,3,0.15572797641241634,0.3333333333333333
3,0.2,0.30000000000000004,1,0.29020286137492757,0.0
4,0.30000000000000004,0.4,3,0.3393702834182493,0.0
5,0.4,0.5,3,0.4678208736316362,1.0
6,0.5,0.6000000000000001,3,0.5422104910677102,0.3333333333333333
7,0.6000000000000001,0.7000000000000001,3,0.6473600368862384,0.6666666666666666
8,0.7000000000000001,0.8,0,,
9,0.8,0.9,2,0.8180930696741557,1.0
10,0.9,1.0,1,0.9013318966437812,1.0
