bin,lower,upper,n,mean_predicted,observed_fraction
1,0.0,0.1,85,0.05069339779369971,0.03529411764705882
2,0.1,0.2,18,0.1424049689537949,0.2777777777777778
3,0.2,0.30000000000000004,15,0.2475402295589447,0.6
4,0.30000000000000004,0.4,16,0.34712791815400124,0.5
5,0.4,0.5,1,0.41159942746162415,1.0
6,0.5,0.6000000000000001,4,0.5526574701070786,1.0
7,0.6000000000000001,0.7000000000000001,8,0.6486380323767662,0.375
8,0.7000000000000001,0.8,12,0.7711340039968491,0.5
9,0.8,0.9,11,0.8455513715744019,0.7272727272727273
10,0.9,1.0,58,0.9764609552662948,0.8103448275862069
