metric,estimate,lower,upper,valid_iterations
dice,0.5276442638765843,0.441101904808104,0.6003223156377566,5000
iou,0.4149758557503468,0.3421756229560132,0.47775017245349344,5000
pixel_sensitivity,0.6469894232991357,0.5319694395241095,0.7454038285090908,5000
pixel_specificity,0.9994092544532418,0.9992698981521502,0.9995594823362229,5000
pixel_precision,0.51264800155512,0.44906986825997697,0.5708768211683045,5000
gt_coverage,0.6469894232991357,0.5319694395241095,0.7454038285090908,5000
prediction_purity,0.51264800155512,0.44906986825997697,0.5708768211683045,5000
empty_prediction,0.021929824561403508,0.0,0.06401290322580626,5000
missed_target,0.16228070175438597,0.07251461750852689,0.27064954580376904,5000
pred_gt_area_ratio,1.842453589489882,1.4730518364962442,2.2540095296887244,5000
