bin,lower,upper,n,mean_predicted,observed_fraction
1,0.0,0.1,129,0.040430947710347616,0.015503875968992248
2,0.1,0.2,32,0.1414455788240433,0.34375
3,0.2,0.30000000000000004,13,0.23444739658796926,0.46153846153846156
4,0.30000000000000004,0.4,12,0.34442552634238527,0.6666666666666666
5,0.4,0.5,12,0.4564628784537626,0.3333333333333333
6,0.5,0.6000000000000001,5,0.5526298003192436,0.8
7,0.6000000000000001,0.7000000000000001,18,0.6463224561245668,0.5
8,0.7000000000000001,0.8,24,0.7628965226305428,0.4583333333333333
9,0.8,0.9,22,0.8432538785137833,0.8636363636363636
10,0.9,1.0,10,0.9211409170251799,1.0
