bin,lower,upper,n,mean_predicted,observed_fraction
1,0.0,0.1,93,0.036757356308115184,0.021505376344086023
2,0.1,0.2,28,0.14032789712933016,0.35714285714285715
3,0.2,0.30000000000000004,29,0.25242105302465095,0.3103448275862069
4,0.30000000000000004,0.4,27,0.35051116793048454,0.4074074074074074
5,0.4,0.5,16,0.4606975749316806,0.375
6,0.5,0.6000000000000001,14,0.5351501434960783,0.6428571428571429
7,0.6000000000000001,0.7000000000000001,11,0.6496753529039972,0.45454545454545453
8,0.7000000000000001,0.8,14,0.7499877722522766,0.5714285714285714
9,0.8,0.9,17,0.8436556397560164,0.8235294117647058
10,0.9,1.0,16,0.936990473270363,0.875
