bin,lower,upper,n,mean_predicted,observed_fraction
1,0.0,0.1,36,0.0639862485954331,0.0
2,0.1,0.2,32,0.1385363785084337,0.0
3,0.2,0.30000000000000004,12,0.25443777566154796,0.0
4,0.30000000000000004,0.4,19,0.34536899234119217,0.0
5,0.4,0.5,10,0.4705598920583725,0.0
6,0.5,0.6000000000000001,6,0.5296062131722769,0.0
7,0.6000000000000001,0.7000000000000001,2,0.6279290020465851,0.0
8,0.7000000000000001,0.8,3,0.7192403276761373,0.3333333333333333
9,0.8,0.9,7,0.8501674021993365,0.14285714285714285
10,0.9,1.0,108,0.9743914190265868,0.75
