metric,estimate,lower,upper,valid_iterations
dice,0.4060238330478819,0.2918837901853605,0.5096154363247236,5000
iou,0.30292631857536584,0.21618642390157322,0.38399504605108903,5000
pixel_sensitivity,0.554163595013774,0.3969115057020921,0.7129422370549204,5000
pixel_specificity,0.9991534880718056,0.998867031556162,0.9993870429511615,5000
pixel_precision,0.501364666023846,0.38364240889646617,0.6040432173870238,5000
gt_coverage,0.554163595013774,0.3969115057020921,0.7129422370549204,5000
prediction_purity,0.501364666023846,0.38364240889646617,0.6040432173870238,5000
empty_prediction,0.11191335740072202,0.024691358024691357,0.23076923076923078,5000
missed_target,0.2779783393501805,0.13186324351804782,0.4623750790638835,5000
pred_gt_area_ratio,1.8624834658267113,1.3030933870320576,2.595778264236812,5000
