epoch,phase,split,total_loss,dice,classification_accuracy,balanced_accuracy,macro_f1,lesion_recall,segmentation_precision,empty_prediction_rate,missed_target_rate,pred_gt_area_ratio,localization_hit_rate,box_iou,checkpoint_score,learning_rate,loss_components.segmentation,loss_components.focal_bce,loss_components.tversky,loss_components.boundary,loss_components.classification,loss_components.total,loss_components.common_checkpoint_score,loss_components.phase_selection_score
1,standard,train,1.3929841494073674,0.10320867721599583,0.5127551020408163,0.5142031400525946,0.5090618197078186,0.5914713892306448,0.08239192994577545,0.01403061224489796,0.12244897959183673,14.070560159045085,0.8775510204081632,0.011302425409871369,0.0,8e-05,0.6684481465086645,0.09708276725545222,0.9880333658383817,0.019557919267717064,0.6900343180310969,1.3929841494073674,,
1,standard,validation,1.6123873841377996,0.088647477088436,0.2967741935483871,0.4914141414141414,0.24659977703455963,0.8414105661453739,0.060613164269635755,0.00967741935483871,0.06774193548387097,21.461077274457555,0.932258064516129,0.00841269573405913,0.3207722356743312,0.0,0.6530932426452637,0.04552951094604308,0.9855041207805757,0.011332059579510842,0.9136135262827719,1.6123873841377996,0.32434269958071466,0.3207722356743312
2,standard,train,1.2701315952807057,0.1414242216709013,0.5331632653061225,0.5374622513797772,0.4355718163578426,0.6421561715554218,0.1438643143759394,0.04846938775510204,0.21556122448979592,8.295129082840113,0.7844387755102041,0.016644975938209336,0.0,7.99957478687904e-05,0.6439941008480228,0.04402096905954638,0.9723855901737603,0.00938249770456887,0.5963214495960547,1.2701315952807057,,
2,standard,validation,1.4724408957266037,0.12831112463628092,0.3419354838709677,0.5265151515151515,0.308671126852945,0.749574924284412,0.09223897496779118,0.012903225806451613,0.13548387096774195,12.409965423169648,0.864516129032258,0.01113390365595557,0.32145160535589345,0.0,0.6251133738025543,0.022171634339517163,0.9521628002966603,0.006646597763944057,0.8069786248668548,1.4724408957266037,0.32888298932067417,0.32145160535589345
3,standard,train,1.1695531789137392,0.181375136218813,0.5982142857142857,0.6038961038961039,0.5562862147958496,0.5542296230488893,0.23308500446075078,0.09566326530612244,0.2614795918367347,5.033482050646507,0.7385204081632653,0.02431792133332674,0.0,7.998299242677312e-05,0.5860995930068347,0.11540856581105262,0.8559065047575503,0.009082435378424672,0.5556701017277581,1.1695531789137392,,
3,standard,validation,1.4502584472779305,0.17471045590934356,0.38387096774193546,0.5527777777777778,0.36531926981166457,0.21108177253351573,0.4222189180670915,0.22580645161290322,0.6193548387096774,0.6558812333460221,0.38064516129032255,0.043517615785702554,0.298561572536632,0.0,0.6129496409047035,0.27110730464900695,0.8382437582938902,0.003143900437580962,0.7974369929682824,1.4502584472779305,0.19659584053261794,0.298561572536632
4,standard,train,1.068004688438104,0.29837966436634256,0.6364795918367347,0.6404366391543208,0.6125078256285215,0.5195832240338228,0.38257468529805844,0.12627551020408162,0.29336734693877553,2.153749302265068,0.7066326530612245,0.06889700104717145,0.0,7.996173652856996e-05,0.4976158032611925,0.1990230890295031,0.6880120148464125,0.006522415588343782,0.543227533296663,1.068004688438104,,
4,standard,validation,1.1269545155186806,0.19670937108230932,0.7612903225806451,0.7891414141414141,0.7433315431435732,0.25778831395272833,0.4247719110434262,0.2064516129032258,0.5548387096774193,0.7124571754853445,0.44516129032258067,0.038324447536233264,0.2936945648969061,0.0,0.5585842705542041,0.17132825721656122,0.7929370495580857,0.0034313603649817168,0.541305015548583,1.1269545155186806,0.3228017142215089,0.2936945648969061
5,standard,train,1.0334332925932748,0.3207129176173891,0.6415816326530612,0.6318283983191635,0.6020858055764774,0.5238807031086513,0.4026183440369003,0.12372448979591837,0.29081632653061223,1.967358743931412,0.7091836734693877,0.07744292807553464,0.0,7.993198493117394e-05,0.4811103900476378,0.20892199254309646,0.6587243323423424,0.007090978476465965,0.5260218412292247,1.0334332925932748,,
5,standard,validation,1.3761868784504552,0.23536384614306902,0.45161290322580644,0.5972222222222222,0.4464285714285714,0.42363411494105685,0.2635581633539174,0.06129032258064516,0.3741935483870968,2.7862898109376983,0.6258064516129033,0.02938754969198958,0.29125047807231713,0.0,0.5143336176872253,0.10257283470803691,0.7511585616296338,0.004373602198076344,0.820812661417069,1.3761868784504552,0.3090834166672816,0.29125047807231713
6,standard,train,0.9416306274277824,0.382789535638021,0.7130102040816326,0.7043439716312057,0.6953025814642404,0.5646186601750705,0.4604807620373916,0.12755102040816327,0.2653061224489796,1.6172169128294236,0.7346938775510204,0.1229067473474848,0.0,7.989374429288484e-05,0.43162857421806883,0.1704402817413211,0.597531510250909,0.00623033818674787,0.4857162594491122,0.9416306274277824,,
6,standard,validation,1.2203251000373594,0.2648372160385599,0.5709677419354838,0.6878787878787879,0.5709275582520736,0.4447987244206825,0.3158672332028914,0.07096774193548387,0.3870967741935484,1.3535877426722498,0.6129032258064516,0.0184723590310584,0.2950440094608218,0.0,0.5055363539726504,0.16536059115202195,0.7134709377442637,0.004401099240227092,0.6807512275634273,1.2203251000373594,0.35727096229959565,0.2950440094608218
7,standard,train,0.9328876320196657,0.3792774408143394,0.7295918367346939,0.7267555393548051,0.7187396351575456,0.559081606110748,0.4701429830521953,0.14285714285714285,0.2844387755102041,1.637758705382084,0.7155612244897959,0.12561391436922076,0.0,7.984702317181909e-05,0.42905930520928637,0.1623347675503821,0.5966035577715659,0.006833139403095963,0.4798365203397615,0.9328876320196657,,
7,standard,validation,1.6732835223597864,0.24052354703747483,0.33225806451612905,0.5164141414141414,0.2974523478470314,0.2974793581141993,0.5174726035955428,0.2645161290322581,0.5290322580645161,0.7190632533942393,0.47096774193548385,0.08704350858564698,0.27657144742957757,0.0,0.5365989112084911,0.18791565500920818,0.7528120356221353,0.002921894559216115,1.082556813378488,1.6732835223597864,0.2200374871617073,0.27657144742957757
8,standard,train,0.9063650515614724,0.4212107161174015,0.7257653061224489,0.7227914182310516,0.7136912193091969,0.5821460309077282,0.512972894523825,0.13520408163265307,0.2602040816326531,1.3910419591294179,0.7397959183673469,0.1746655143447862,0.0,7.979183202399439e-05,0.4019482179867978,0.15587167439944283,0.5574290874053021,0.006514079605077146,0.4803970057745369,0.9063650515614724,,
8,standard,validation,1.2441933393478393,0.30810425602367436,0.5870967741935483,0.695959595959596,0.5866666666666667,0.42600808396435896,0.4196911547925851,0.13870967741935483,0.43870967741935485,1.3555782895571629,0.5612903225806452,0.0885067217249569,0.2822005331739816,0.0,0.47602918897905655,0.1504520005636638,0.673911137350144,0.0037396739462330457,0.7315849298431027,1.2441933393478393,0.3615183611789901,0.2822005331739816
9,standard,train,0.8849428375156558,0.42839319639059964,0.7665816326530612,0.7723492723492724,0.7631032757570204,0.615157272742719,0.46209550937827754,0.08928571428571429,0.23469387755102042,1.623766734212537,0.7653061224489796,0.1608823718858311,0.0,7.972818320098983e-05,0.3906088047185723,0.14694697983867053,0.5433703490665981,0.006813475006849182,0.47079433637614154,0.8849428375156558,,
9,standard,validation,1.0422363142813407,0.24207188102959562,0.8161290322580645,0.7621212121212121,0.7698589458054936,0.25951127129906953,0.46452930474242915,0.19032258064516128,0.535483870967742,0.9196643826925517,0.4645161290322581,0.11667808978826476,0.2798396666129108,0.0,0.5429052848969736,0.1787166527682735,0.7660293094573483,0.0030708955217813774,0.4755533854807577,1.0422363142813407,0.33799141899279134,0.2798396666129108
10,standard,train,0.860913849606806,0.4624219187060181,0.7512755102040817,0.7554854340477912,0.7470779462491004,0.6132586282126757,0.5239005350336736,0.10459183673469388,0.23979591836734693,2.1249753861752003,0.7602040816326531,0.19508735585706982,0.0,7.965609094718153e-05,0.3729960392324292,0.15201143825388685,0.5143502756040923,0.006655122459942132,0.46468364888308,0.860913849606806,,
