seed,endpoint,method,model_a,model_b,difference,lower,upper,p_two_sided,wilcoxon_p
42,case_raw_auroc,paired SubjectID-clustered bootstrap,0.9074074074074074,0.8333333333333334,0.074074074074074,-0.1018518518518518,0.2794719251336889,0.4456,
42,case_raw_auprc,paired SubjectID-clustered bootstrap,0.8927128427128428,0.8034391534391536,0.0892736892736891,-0.1100223214285713,0.3428285603285601,0.4304,
42,case_raw_brier,paired SubjectID-clustered bootstrap,0.1268500274967799,0.1818774657226049,-0.0550274382258249,-0.1575735086516202,0.0371256360095836,0.2612,
42,case_raw_accuracy,exact McNemar,0.8095238095238095,0.7619047619047619,0.0476190476190476,,,1.0,
42,case_calibrated_auroc,paired SubjectID-clustered bootstrap,0.9074074074074074,0.8333333333333334,0.074074074074074,-0.1018518518518518,0.2794719251336889,0.4456,
42,case_calibrated_auprc,paired SubjectID-clustered bootstrap,0.8927128427128428,0.8034391534391536,0.0892736892736891,-0.1100223214285713,0.3428285603285601,0.4304,
42,case_calibrated_brier,paired SubjectID-clustered bootstrap,0.1242014127729412,0.2126429724677888,-0.0884415596948475,-0.2389749839436741,0.0471227059751435,0.21,
42,case_calibrated_accuracy,exact McNemar,0.7142857142857143,0.7619047619047619,-0.0476190476190475,,,1.0,
42,slice_dice,paired SubjectID-clustered bootstrap + Wilcoxon,0.5396164202136695,0.4060238330478819,0.1335925871657876,-0.0029215446903582,0.2764801002180166,0.056,1.0242711084979988e-10
42,slice_iou,paired SubjectID-clustered bootstrap + Wilcoxon,0.4223546118522763,0.3029263185753658,0.1194282932769104,0.0042665992539908,0.2399791738369891,0.0408,8.029653389375192e-11
123,case_raw_auroc,paired SubjectID-clustered bootstrap,0.8583333333333334,0.875,-0.0166666666666666,-0.1852777777777774,0.1466764705882351,0.8672,
123,case_raw_auprc,paired SubjectID-clustered bootstrap,0.862265087853323,0.8703711484593837,-0.0081060606060606,-0.1963891750610499,0.15229492933537,0.8908,
123,case_raw_brier,paired SubjectID-clustered bootstrap,0.19416288232646,0.2131369382900535,-0.0189740559635935,-0.1053752962782621,0.0838635351913456,0.6656,
123,case_raw_accuracy,exact McNemar,0.6363636363636364,0.6363636363636364,0.0,,,1.0,
123,case_calibrated_auroc,paired SubjectID-clustered bootstrap,0.8583333333333334,0.875,-0.0166666666666666,-0.1852777777777774,0.1466764705882351,0.8672,
123,case_calibrated_auprc,paired SubjectID-clustered bootstrap,0.862265087853323,0.8703711484593837,-0.0081060606060606,-0.1963891750610499,0.15229492933537,0.8908,
123,case_calibrated_brier,paired SubjectID-clustered bootstrap,0.1537408222384929,0.1646570150771615,-0.0109161928386686,-0.0839023187890694,0.0657214090421938,0.786,
123,case_calibrated_accuracy,exact McNemar,0.6818181818181818,0.7272727272727273,-0.0454545454545455,,,1.0,
123,slice_dice,paired SubjectID-clustered bootstrap + Wilcoxon,0.4601793375554327,0.4753096477177926,-0.0151303101623599,-0.0770011047206102,0.0373778046358071,0.6224,0.0602891986809257
123,slice_iou,paired SubjectID-clustered bootstrap + Wilcoxon,0.3762918177203138,0.3802976150538646,-0.0040057973335507,-0.0563767480026017,0.0418711893504358,0.9012,0.0415467783342349
2026,case_raw_auroc,paired SubjectID-clustered bootstrap,0.9814814814814814,0.9814814814814814,0.0,-0.0769230769230768,0.0769444444444441,1.0,
2026,case_raw_auprc,paired SubjectID-clustered bootstrap,0.9765432098765434,0.9765432098765434,0.0,-0.0986266025641025,0.1000240384615382,1.0,
2026,case_raw_brier,paired SubjectID-clustered bootstrap,0.1328931771831207,0.1775767965315266,-0.0446836193484059,-0.1580563560138006,0.0695217067196578,0.422,
2026,case_raw_accuracy,exact McNemar,0.8095238095238095,0.8095238095238095,0.0,,,1.0,
2026,case_calibrated_auroc,paired SubjectID-clustered bootstrap,0.9814814814814814,0.9814814814814814,0.0,-0.0769230769230768,0.0769444444444441,1.0,
2026,case_calibrated_auprc,paired SubjectID-clustered bootstrap,0.9765432098765434,0.9765432098765434,0.0,-0.0986266025641025,0.1000240384615382,1.0,
2026,case_calibrated_brier,paired SubjectID-clustered bootstrap,0.0753568164717415,0.0957520733847789,-0.0203952569130374,-0.1079661389308144,0.0632684946759246,0.6504,
2026,case_calibrated_accuracy,exact McNemar,0.9523809523809524,0.8571428571428571,0.0952380952380952,,,0.625,
2026,slice_dice,paired SubjectID-clustered bootstrap + Wilcoxon,0.505936747950707,0.4418296063164019,0.0641071416343049,0.00749129956381,0.1235081569267196,0.0232,1.326203182570994e-06
2026,slice_iou,paired SubjectID-clustered bootstrap + Wilcoxon,0.3933973815126988,0.3414751476906371,0.0519222338220616,0.0046279585920625,0.0987277571681767,0.0288,3.447804018600749e-06
31415,case_raw_auroc,paired SubjectID-clustered bootstrap,0.8796296296296297,0.8333333333333333,0.0462962962962963,-0.1030118778280539,0.2040816326530612,0.562,
31415,case_raw_auprc,paired SubjectID-clustered bootstrap,0.8241943241943244,0.7614478114478116,0.0627465127465127,-0.1388979076479076,0.2615273962148959,0.568,
31415,case_raw_brier,paired SubjectID-clustered bootstrap,0.1476750988566642,0.1905615035888644,-0.0428864047322002,-0.1154416124121653,0.0329210525100825,0.2612,
31415,case_raw_accuracy,exact McNemar,0.7619047619047619,0.7619047619047619,0.0,,,1.0,
31415,case_calibrated_auroc,paired SubjectID-clustered bootstrap,0.8796296296296297,0.8333333333333333,0.0462962962962963,-0.1030118778280539,0.2040816326530612,0.562,
31415,case_calibrated_auprc,paired SubjectID-clustered bootstrap,0.8241943241943244,0.7614478114478116,0.0627465127465127,-0.1388979076479076,0.2615273962148959,0.568,
31415,case_calibrated_brier,paired SubjectID-clustered bootstrap,0.1527424328716526,0.1731633335645398,-0.0204209006928872,-0.0795959553087105,0.0403526570973631,0.4916,
31415,case_calibrated_accuracy,exact McNemar,0.7142857142857143,0.6666666666666666,0.0476190476190476,,,1.0,
31415,slice_dice,paired SubjectID-clustered bootstrap + Wilcoxon,0.5276442638765843,0.2889867917377267,0.2386574721388574,0.1300507661227104,0.3516656701641751,0.0,2.589645337547949e-24
31415,slice_iou,paired SubjectID-clustered bootstrap + Wilcoxon,0.4149758557503468,0.218628510906434,0.1963473448439127,0.1160940648880168,0.2819168531601506,0.0,1.6274161789224235e-24
27182,case_raw_auroc,paired SubjectID-clustered bootstrap,0.898148148148148,0.6666666666666666,0.2314814814814814,-0.0673076923076922,0.5272727272727273,0.1316,
27182,case_raw_auprc,paired SubjectID-clustered bootstrap,0.9056048345264032,0.5608465608465609,0.3447582736798422,-0.0261915784832451,0.5924682539682539,0.0756,
27182,case_raw_brier,paired SubjectID-clustered bootstrap,0.1387253656460892,0.2194302446535977,-0.0807048790075085,-0.19152286845667,0.0520928315149283,0.2092,
27182,case_raw_accuracy,exact McNemar,0.8095238095238095,0.7142857142857143,0.0952380952380952,,,0.7265625,
27182,case_calibrated_auroc,paired SubjectID-clustered bootstrap,0.898148148148148,0.6666666666666666,0.2314814814814814,-0.0673076923076922,0.5272727272727273,0.1316,
27182,case_calibrated_auprc,paired SubjectID-clustered bootstrap,0.9056048345264032,0.5608465608465609,0.3447582736798422,-0.0261915784832451,0.5924682539682539,0.0756,
