endpoint,method,mean,std,min,max
case_calibrated_accuracy,exact McNemar,0.04805194805194805,0.10050844300323292,-0.0476190476190475,0.1904761904761904
case_calibrated_auprc,paired SubjectID-clustered bootstrap,0.09773448301879668,0.14410998065096003,-0.0081060606060606,0.3447582736798422
case_calibrated_auroc,paired SubjectID-clustered bootstrap,0.06703703703703702,0.09876986872751184,-0.0166666666666666,0.2314814814814814
case_calibrated_brier,paired SubjectID-clustered bootstrap,-0.04937650569014052,0.04463906665708305,-0.1067086183112619,-0.0109161928386686
case_raw_accuracy,exact McNemar,0.02857142857142856,0.04259177099999598,0.0,0.0952380952380952
case_raw_auprc,paired SubjectID-clustered bootstrap,0.09773448301879668,0.14410998065096003,-0.0081060606060606,0.3447582736798422
case_raw_auroc,paired SubjectID-clustered bootstrap,0.06703703703703702,0.09876986872751184,-0.0166666666666666,0.2314814814814814
case_raw_brier,paired SubjectID-clustered bootstrap,-0.0484552794555066,0.022347316765074156,-0.0807048790075085,-0.0189740559635935
slice_dice,paired SubjectID-clustered bootstrap + Wilcoxon,0.10549516614001175,0.09325463405081481,-0.0151303101623599,0.2386574721388574
slice_iou,paired SubjectID-clustered bootstrap + Wilcoxon,0.0952658345873983,0.0755588869047631,-0.0040057973335507,0.1963473448439127
