endpoint,method,model_a,model_b,difference,lower,upper,p_two_sided,wilcoxon_p
case_raw_auroc,paired SubjectID-clustered bootstrap,0.9814814814814814,0.9814814814814814,0.0,-0.07692307692307687,0.07694444444444419,1.0,
case_raw_auprc,paired SubjectID-clustered bootstrap,0.9765432098765434,0.9765432098765434,0.0,-0.09862660256410259,0.1000240384615382,1.0,
case_raw_brier,paired SubjectID-clustered bootstrap,0.13289317718312071,0.17757679653152664,-0.04468361934840592,-0.15805635601380064,0.0695217067196578,0.422,
case_raw_accuracy,exact McNemar,0.8095238095238095,0.8095238095238095,0.0,,,1.0,
case_calibrated_auroc,paired SubjectID-clustered bootstrap,0.9814814814814814,0.9814814814814814,0.0,-0.07692307692307687,0.07694444444444419,1.0,
case_calibrated_auprc,paired SubjectID-clustered bootstrap,0.9765432098765434,0.9765432098765434,0.0,-0.09862660256410259,0.1000240384615382,1.0,
case_calibrated_brier,paired SubjectID-clustered bootstrap,0.07535681647174151,0.09575207338477897,-0.02039525691303745,-0.10796613893081441,0.06326849467592464,0.6504,
case_calibrated_accuracy,exact McNemar,0.9523809523809523,0.8571428571428571,0.09523809523809523,,,0.625,
slice_dice,paired SubjectID-clustered bootstrap + Wilcoxon,0.505936747950707,0.44182960631640195,0.06410714163430496,0.007491299563810029,0.12350815692671967,0.0232,1.326203182570994e-06
slice_iou,paired SubjectID-clustered bootstrap + Wilcoxon,0.3933973815126988,0.34147514769063714,0.05192223382206163,0.004627958592062515,0.09872775716817679,0.0288,3.447804018600749e-06
